,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603959,百利科技,0.22,,,9.32,0.13,3774.87,,,04-26
1,603701,德宏股份,0.75,,4.54,17.07,0.77,4413.73,,,03-28
2,002791,坚朗五金,0.84,,7.68,11.51,-0.74,14206.66,,,03-10
3,300484,蓝海华腾,0.99,,5.74,18.75,-0.59,3864.17,,,03-09
4,002792,通宇通讯,1.51,,8.33,19.76,0.29,18072.74,,,03-09
5,300506,名家汇,0.35,,2.85,13.12,-0.31,3161.64,,,03-07
6,002789,建艺集团,0.89,,9.22,9.66,-4.18,5422.78,,,02-23
7,603520,司太立,0.55,,4.68,11.52,0.78,4972.43,,,02-18
8,002790,瑞尔特,0.91,,4.74,20.6,0.73,10920.03,,,02-17
9,300501,海顺新材,1.1,,6.37,18.45,0.75,4416.1,,,01-22
10,002788,鹭燕医药,0.8,,7.29,11.47,-3.55,7656.78,,,01-21
11,601900,南方传媒,0.53,3.92,,13.97,,34199.62,18.84,,01-20
12,300499,高澜股份,0.38,5.56,,6.27,,1887.24,3.64,,01-20
13,002797,第一创业,0.38,,,,,75326.82,,,01-15
14,001979,招商蛇口,,,,,,191046.55,11.13,,12-28
15,002778,高科石化,0.45,4.65,,7.85,,2999.58,5.56,,12-16
16,300494,盛天网络,0.6,-35.48,,17.82,,5395.96,-35.49,,12-16
17,002777,久远银海,0.52,4.0,,12.44,,3099.64,3.3,,12-16
18,300491,通合科技,0.44,12.82,,13.54,,2625.05,13.65,,12-16
19,300490,华自科技,0.42,7.69,,9.56,,3131.46,7.12,,12-16
20,002787,华源包装,0.58,11.54,,12.17,,6133.83,12.73,,12-16
21,603778,乾景园林,0.57,42.5,,7.42,,3426.05,43.86,,12-16
22,300492,山鼎设计,0.27,-1450.0,,10.43,,1712.55,-1402.85,,12-04
23,603866,桃李面包,0.62,29.17,,22.68,,24944.76,28.97,,12-04
24,002785,万里石,0.09,28.57,,,,1309.56,18.57,,12-04
25,002786,银宝山新,0.47,6.82,,7.23,,4464.61,5.68,,12-04
26,300497,富祥股份,1.19,46.91,,21.21,,6435.37,47.76,,12-04
27,601155,新城控股,0.38,,6.35,6.24,0.51,44819.95,,,12-03
28,601611,中国核建,,,,,,39972.14,-27.43,,12-01
29,603398,邦宝益智,0.7,27.27,,24.73,,5041.2,27.27,,11-23
30,300493,润欣科技,0.32,-11.11,,10.89,,2887.23,-10.84,,11-23
31,603696,安记食品,0.41,-10.87,,10.04,,3713.5,-9.38,,11-23
32,002779,中坚科技,0.62,-13.89,,11.97,,4111.77,-13.38,,11-23
33,300496,中科创达,1.35,0.95,,27.68,,10123.05,0.96,,11-23
34,603223,恒通股份,0.24,-36.84,,6.22,,2359.68,-31.02,,10-31
35,601010,文峰股份,0.15,-65.91,,6.97,,27421.77,-15.62,,10-31
36,002712,思美传媒,0.67,42.55,,5.05,,5919.56,48.97,,10-31
37,002419,天虹商场,0.28,-36.36,,4.99,,22780.02,-35.75,,10-31
38,002715,登云股份,-0.22,-225.5,,-4.05,,-1986.91,-230.46,,10-31
39,000156,华数传媒,0.31,47.14,,6.71,,40361.1,67.23,,10-31
40,601601,中国太保,1.66,67.68,14.02,12.3,2.68,1503600.0,67.81,,10-31
41,601398,工商银行,0.62,-1.59,4.62,13.95,,22176100.0,0.59,,10-31
42,000826,启迪桑德,0.73,20.07,,11.19,,61675.71,20.41,,10-31
43,600503,华丽家族,0.01,543.75,,0.46,0.24,1652.75,807.03,,10-31
44,000789,万年青,0.23,-74.59,,5.62,,14274.36,-61.94,,10-31
45,600756,浪潮软件,0.18,137.73,,5.87,,5119.11,137.35,,10-31
46,600380,健康元,0.28,43.7,,9.56,,44041.49,45.28,,10-31
47,600191,华资实业,0.32,322.22,,7.88,,15478.83,322.13,,10-31
48,000402,金融街,0.34,78.95,,4.18,,101339.44,74.56,,10-31
49,600408,安泰集团,-0.34,9.68,,-25.71,,-34189.58,8.55,,10-31
50,002245,澳洋顺昌,0.19,-34.37,,12.23,,18067.82,50.91,,10-31
51,000682,东方电子,0.03,21.13,,1.71,,2519.97,21.23,,10-31
52,000629,*ST钒钛,-0.11,-257.3,,-9.65,,-97191.06,-257.47,,10-31
53,600645,中源协和,0.22,52.78,,6.44,,8396.13,65.35,,10-31
54,600575,皖江物流,0.06,-105.56,,5.24,,18376.6,-106.68,,10-31
55,600388,龙净环保,0.36,-47.83,,11.89,,38959.73,31.49,,10-31
56,600016,民生银行,1.1,1.85,8.02,14.47,3.36,3837700.0,4.35,,10-31
57,000973,佛塑科技,0.04,-39.68,,1.82,,3639.3,-40.62,,10-31
58,600637,东方明珠,1.03,106.46,,12.16,,252487.9,355.16,,10-31
59,000918,嘉凯城,-0.32,966.67,,-14.54,,-58606.18,905.65,,10-31
60,000930,中粮生化,-0.53,-1658.82,,-19.47,,-51157.0,-1676.07,,10-31
61,600664,哈药股份,0.21,23.62,,5.38,,40246.87,23.61,,10-31
62,000587,金洲慈航,0.21,0.0,,8.78,,11983.49,6.77,,10-31
63,002616,长青集团,0.23,-39.55,,4.85,,8091.05,43.4,,10-31
64,600689,上海三毛,-0.1,-127.25,,-5.35,,-2010.39,-127.24,,10-31
65,600652,游久游戏,0.01,-105.88,,0.33,,658.8,-106.92,,10-31
66,600130,波导股份,0.04,-33.33,,3.45,,3156.13,-27.07,,10-31
67,600198,大唐电信,-0.47,191.9,,-10.88,,-41632.28,215.66,,10-31
68,600719,大连热电,-0.08,-40.44,,-2.3,,-1646.84,-39.98,,10-31
69,002501,利源精制,0.39,-37.1,,10.13,,36069.22,23.5,,10-31
70,600732,*ST新梅,-0.06,-912.0,,-5.91,,-2720.68,-910.4,,10-31
71,002775,文科园林,0.57,-4.24,,8.44,,6810.47,27.7,,10-31
72,600169,太原重工,0.0,-43.75,,0.2,,1087.43,-44.16,,10-31
73,600892,大晟文化,-0.05,-2037.04,,-57.01,,-330.21,-2057.7,,10-31
74,600854,春兰股份,-0.02,-168.78,,-0.44,,-846.44,-168.84,,10-31
75,002432,九安医疗,-0.18,125.0,,-9.18,,-6641.91,124.7,,10-31
76,002390,信邦制药,0.1,-44.44,,5.35,,13098.73,51.76,,10-31
77,600231,凌钢股份,-0.22,-31.25,3.62,-5.82,0.94,-17452.17,-32.51,,10-31
78,600900,长江电力,0.58,0.45,,10.74,,949322.71,0.46,,10-31
79,002605,姚记扑克,0.21,-14.31,,8.12,,8037.91,-14.32,,10-31
80,603100,川仪股份,0.29,-27.5,,6.38,,11475.45,-9.62,,10-31
81,002602,世纪华通,0.27,-15.63,,7.32,,27446.03,198.76,,10-31
82,600783,鲁信创投,0.31,-27.91,,6.84,,22959.39,-28.04,,10-31
83,600360,华微电子,0.04,-5.0,,1.42,,2799.56,4.39,,10-31
84,601021,春秋航空,3.09,41.1,,21.04,,120235.6,82.88,,10-31
85,600390,*ST金瑞,-0.12,554.05,,-4.83,,-4887.94,574.64,,10-31
86,600240,华业资本,0.48,49.43,,16.58,,69020.69,49.41,,10-31
