,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603611,诺力股份,0.96,,,,,5785.64,,,01-27
1,603558,健盛集团,0.96,,,,,5783.9,,,01-26
2,601069,西部黄金,,,,,,5689.83,,,01-21
3,603698,航天工程,0.48,,,20.08,,15987.69,,,01-07
4,603601,再升科技,0.43,,,14.36,,2196.3,,,01-06
5,002739,万达院线,,,,,,48702.29,,,01-06
6,300417,南华仪器,0.53,,,11.7,,1621.63,,,01-06
7,002734,利民股份,,,,,,3747.36,,,01-06
8,300418,昆仑万维,0.59,,,16.21,,12335.04,,,01-06
9,603686,龙马环卫,0.71,,,21.6,,7141.49,,,01-06
10,300413,快乐购,0.36,,,16.31,,12058.08,,,01-06
11,603678,火炬电子,0.61,,,17.44,,7666.38,,,01-06
12,300364,中文在线,,,,,,1025.12,,,01-06
13,002740,爱迪尔,,,,,,6959.77,,,01-06
14,300412,迦南科技,,,,,,2366.42,,,12-30
15,603889,新澳股份,1.07,,,,,8570.32,,,12-30
16,300411,金盾股份,0.46,,,16.55,-0.92,3705.92,,,12-30
17,002738,中矿资源,0.35,,,7.65,0.06,3113.94,,,12-29
18,603588,高能环境,0.43,,,,-1.56,5182.93,,,12-26
19,002736,国信证券,0.25,,,9.02,-1.38,177609.41,18.07,,12-26
20,603788,宁波高发,0.55,,,25.21,,5634.67,,,12-11
21,300410,正业科技,0.53,,,11.82,0.13,2364.88,,,12-11
22,603636,南威软件,,,,,,2722.71,,,12-11
23,002737,葵花药业,,,,,,18921.45,,,12-11
24,603017,中衡设计,1.18,,,,,5317.36,,,12-11
25,601021,春秋航空,2.1,,,21.81,,63122.0,,,12-11
26,601969,海南矿业,0.47,,,27.08,0.3,78554.91,,,12-08
27,002732,燕塘乳业,0.48,,,19.63,0.43,5704.29,,,12-04
28,603998,方盛制药,0.64,,,16.43,0.83,5256.66,,,12-04
29,603518,维格娜丝,0.76,,4.61,20.18,,8482.21,,,12-02
30,603166,福达股份,0.22,,,12.79,0.36,8615.28,,,11-26
31,002735,王子新材,,,,,,2982.42,,,11-14
32,603368,柳州医药,1.25,,,,,11232.35,,,11-14
33,002733,雄韬股份,0.53,,,9.51,,5400.89,,,11-14
34,601226,华电重工,0.42,,,17.44,,26126.11,,,11-14
35,300408,三环集团,,,,,,40859.94,,,11-14
36,300407,凯发电气,,,,9.49,,2749.36,,,11-14
37,603088,宁波精达,0.39,,,8.37,0.33,2326.43,,,11-10
38,603011,合锻智能,0.18,,,6.94,-0.55,2466.61,,,11-06
39,603019,中科曙光,0.09,,,2.6,-1.17,1917.54,,,11-05
40,601015,陕西黑猫,0.25,,,6.82,0.18,12579.12,,,11-04
41,002731,萃华珠宝,0.39,,,10.1,1.62,4388.58,,,11-03
42,002724,海洋王,0.26,,,10.07,0.06,9182.52,,,11-03
43,603988,中电电机,0.68,,,16.53,0.46,4101.59,,,11-03
44,603100,川仪股份,0.38,,,9.87,,11104.26,,,10-31
45,603609,禾丰牧业,0.21,,,6.32,,10133.58,,,10-31
46,603006,联明股份,0.82,,,16.54,,4894.08,,,10-30
47,600023,浙能电力,0.46,,,17.25,,485558.14,,,10-30
48,603328,依顿电子,0.59,,,11.1,,23561.91,,,10-30
49,600917,重庆燃气,0.17,,,7.96,,23703.06,,,10-30
50,300402,宝色股份,0.28,,,,,4167.14,,,10-30
51,603806,福斯特,1.19,,,23.2,,40703.65,,,10-30
52,603126,中材节能,0.27,,,7.87,,8851.44,,,10-29
53,300403,地尔汉宇,0.82,,,22.07,0.63,8212.8,,,10-29
54,603169,兰石重装,0.07,,,4.47,,3257.47,,,10-29
55,300406,九强生物,1.31,,,30.55,0.65,13107.35,,,10-29
56,300405,科隆精化,0.7,,,11.97,-0.28,3585.56,,,10-29
57,603606,东方电缆,0.33,,,7.47,,3667.68,,,10-29
58,002728,台城制药,0.84,,,,,6322.48,,,10-28
59,603168,莎普爱思,1.49,,,24.54,,7281.8,,,10-28
60,300398,飞凯材料,0.91,,,,,5450.27,,,10-28
61,601016,节能风电,0.08,,,4.46,,11921.33,,,10-28
62,603018,设计股份,1.01,,,12.94,,7843.41,,,10-28
63,300389,艾比森,1.32,,,,,8341.54,,,10-28
64,002730,电光科技,0.4,,,,,4368.23,,,10-28
65,300384,三联虹普,1.24,,,,,4978.28,,,10-28
66,603009,北特科技,0.34,,,12.0,,2753.34,,,10-28
67,002728,台城制药,0.84,,,,,6322.48,,,10-28
68,300385,雪浪环境,0.54,,,,,3260.86,,,10-27
69,002729,好利来,0.63,,,,,3168.99,,,10-27
70,300399,京天利,0.33,,,,,1978.38,,,10-27
71,300363,博腾股份,0.99,,,,,9618.9,,,10-25
72,603099,长白山,0.38,,,18.45,,7675.57,,,10-25
73,601579,会稽山,0.26,,,9.13,,7915.13,,,10-25
74,300386,飞天诚信,1.69,,,,,12668.32,,,10-25
75,300392,腾信股份,1.07,,,,,5138.83,,,10-24
76,300397,天和防务,0.14,,,,,1284.15,,,10-24
77,300396,迪瑞医疗,1.46,,,,,6709.16,,,10-24
78,300400,劲拓股份,0.34,,,,,2052.63,,,10-24
79,603306,华懋科技,0.46,,,18.63,,6443.95,,,10-24
80,300390,天华超净,0.44,,,,,2732.54,,,10-23
81,002727,一心堂,0.89,,,,,17457.95,,,10-23
82,603010,万盛股份,0.59,,,19.14,,4398.56,,,10-23
83,300401,花园生物,0.31,,,,,2081.86,,,10-23
84,300387,富邦股份,0.76,,,,,3629.25,,,10-23
85,603456,九洲药业,0.76,,,18.71,,11808.6,,,10-23
86,603111,康尼机电,0.32,,,17.45,,6859.41,,,10-23
87,002726,龙大肉食,0.57,,,,,9397.63,,,10-22
88,300391,康跃科技,0.41,,,,,2045.59,,,10-22
89,300395,菲利华,0.93,,,,,4483.33,,,10-22
90,603369,今世缘,1.33,,,29.65,,59938.25,,,10-21
91,300393,中来股份,0.73,,,,,7043.47,,,10-17
92,603026,石大胜华,,,,,,7477.28,,,04-28
93,603288,海天味业,1.7,,,,,120527.89,,,01-15
94,002797,第一创业,,,,,,16100.0,3.91,,01-13
95,300383,光环新网,,,,,,4834.81,,,01-10
96,002719,麦趣尔,,,,,,4637.27,,,01-09
97,300381,溢多利,,,,,,4810.33,,,01-09
98,603005,晶方科技,0.6,,3.75,16.3,,11302.56,,,01-09
99,002725,跃岭股份,,,,,,7800.4,,,01-09
100,002723,金莱特,0.47,,,,,3279.77,,,01-09
101,300382,斯莱克,1.5,,,24.73,,6920.74,,,01-09
102,002722,金轮股份,0.36,,,11.43,,3727.17,,,01-09
103,300379,东方通,,,,,,747.2,,,01-09
104,002714,牧原股份,0.7,,,,,14737.61,,,01-09
105,002718,友邦吊顶,,,,,,5150.57,,,01-09
106,002721,金一文化,0.47,,,12.59,,6658.22,,,01-09
107,300380,安硕信息,0.29,,,9.11,,1762.94,,,01-09
108,002715,登云股份,0.35,,,,,2430.9,,,01-08
109,300378,鼎捷软件,,,,,,4792.91,,,01-08
110,603688,石英股份,0.33,,,,,5506.53,,,01-08
111,300377,赢时胜,0.13,,,3.66,,590.07,,,01-08
112,601225,陕西煤业,,,,,,319082.71,,,01-08
113,002717,岭南园林,,,,,,7386.6,,,01-08
114,002716,金贵银业,0.62,,,11.35,,10836.42,,,01-08
115,300376,易事特,,,,,,10443.55,,,01-07
116,300375,鹏翎股份,,,,,,,,,01-07
117,002713,东易日盛,0.22,,,6.51,2.59,2210.0,,,01-07
118,603555,贵人鸟,,,,,,24887.1,,,01-07
119,002712,思美传媒,,,,,,4620.38,,,01-06
120,300370,安控科技,0.28,,,,,1234.46,,,01-06
121,300369,绿盟科技,,,,,,1854.0,,,01-06
122,002711,欧浦智网,,,,,,8456.36,,,01-06
123,300368,汇金股份,,,,,,2559.37,,,01-06
124,300373,扬杰科技,1.05,,,22.46,,7220.53,,,01-06
125,300367,东方网力,0.7,,,13.02,,3669.22,,,01-06
126,300372,*欣泰,0.48,,,,,3325.35,,,01-06
127,300366,创意信息,0.41,,,11.0,,2072.38,,,01-06
128,300371,汇中股份,0.8,,3.82,17.26,0.5,3340.43,,,01-06
129,002708,光洋股份,0.34,,,7.22,0.15,3359.44,,,01-03
130,603308,应流股份,,,,,,11315.32,,,01-03
131,002709,天赐材料,0.53,-12.45,,,,5263.62,-7.91,,01-03
132,300365,恒华科技,,,,,,1912.44,,,01-03
133,000166,申万宏源,0.21,40.0,,7.74,,140528.87,36.2,,01-02
134,300360,炬华科技,,,,,,12074.35,,,01-02
135,002707,众信旅游,,,,,,7557.81,,,01-02
136,002706,良信电器,0.94,,,18.6,,6068.92,,,01-02
137,603699,纽威股份,,,,,,35372.68,,,12-31
138,300359,全通教育,,,,,,2688.55,,,12-31
139,300358,楚天科技,1.48,,,,,9791.98,,,12-31
140,300357,我武生物,,,,,,5608.48,,,12-31
141,002705,新宝股份,,,,,,14532.46,,,12-31
142,600270,外运发展,0.52,12.44,,8.78,,46820.4,12.44,,10-31
143,601788,光大证券,0.15,-46.43,,2.29,,50991.48,-46.82,,10-31
144,000503,海虹控股,0.0,-41.03,,0.16,,206.25,-41.63,,10-31
145,600798,宁波海运,-0.02,-84.06,,-0.75,,-1434.07,-84.1,,10-31
146,600345,长江通信,-0.13,-137.61,,-2.23,,-2616.85,-137.68,,10-31
147,000592,平潭发展,0.03,-295.21,,2.33,,2415.93,-295.94,,10-31
148,600331,宏达股份,-0.12,-53.02,,-18.68,,-12773.12,-53.02,,10-31
149,600734,实达集团,-0.08,117.14,,-18.87,,-2673.41,117.05,,10-31
150,600567,山鹰纸业,0.11,1000.0,,7.0,,17251.2,1509.18,,10-31
151,600335,国机汽车,0.96,63.53,6.04,17.07,,53869.43,63.54,,10-31
152,000982,中银绒业,0.39,2.63,,15.24,,28092.71,33.32,,10-31
153,601918,*ST新集,-0.01,-101.72,3.34,-0.32,0.25,-2780.05,-102.61,,10-31
154,600658,电子城,0.85,286.36,,19.72,,49154.42,278.94,,10-31
155,601169,北京银行,1.25,5.04,,14.74,2.6,1101404.8,10.46,,10-31
156,600182,S佳通,0.6,76.47,,22.98,,20384.99,77.98,,10-31
157,600898,三联商社,0.07,19.48,,5.82,,1734.98,19.47,,10-31
158,600973,宝胜股份,0.24,-9.61,,3.98,,7782.35,16.56,,10-31
159,601398,工商银行,0.59,11.32,3.51,17.25,,20553300.0,10.74,,10-31
160,600277,亿利洁能,0.13,90.72,,,,20656.66,98.52,,10-31
161,600871,石化油服,-0.17,140.28,,-8.43,,-69161.5,138.38,,10-31
162,600803,新奥股份,0.62,287.5,,18.01,,57443.08,1057.26,,10-31
163,600756,浪潮软件,-0.16,-781.03,2.6,-5.85,-0.63,-4412.08,-782.06,,10-31
164,600191,华资实业,0.03,-137.5,,0.85,,1415.57,-135.39,,10-31
165,000402,金融街,0.44,-4.35,,6.55,,134358.59,-2.53,,10-31
166,600196,复星医药,0.62,8.77,,10.14,,138907.96,27.06,,10-31
167,600645,中源协和,0.0,-94.74,,0.72,,106.4,-94.23,,10-31
168,600016,民生银行,1.18,13.46,6.69,18.56,0.56,3331400.0,15.63,,10-31
169,600664,哈药股份,0.14,-8.33,,3.26,,26382.73,-8.31,,10-31
170,600108,亚盛集团,0.12,-25.74,,5.41,,23982.4,-21.0,,10-31
