,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,600498,烽火通信,0.37,12.12,,5.52,,38735.63,16.05,,07-23
1,002258,利尔化学,0.19,-56.56,,5.4,,9797.5,10.64,,07-23
2,002415,海康威视,0.43,-21.82,,12.96,,260684.65,18.14,,07-23
3,600750,江中药业,0.66,43.48,,8.01,,19656.89,41.16,,07-23
4,600680,上海普天,0.0,-33.33,,0.13,,161.14,-33.79,,07-23
5,603558,健盛集团,0.23,-54.9,,5.82,,7591.46,26.58,,07-22
6,601799,星宇股份,0.72,27.07,,7.91,,17247.06,27.07,,07-22
7,002014,永新股份,0.26,8.33,,5.26,,8695.66,10.3,,07-22
8,601678,滨化股份,0.04,-84.0,,1.01,,4801.72,-80.58,,07-22
9,000892,星美联合,-0.0,-90.24,,-3.74,,-15.68,-90.69,,07-22
10,600961,株冶集团,0.02,-109.52,,8.89,,1174.93,-110.74,,07-22
11,603969,银龙股份,0.11,-38.89,,2.99,,4584.3,-32.95,,07-22
12,002326,永太科技,0.14,0.0,,5.76,,11088.11,0.2,,07-22
13,300493,润欣科技,0.19,-13.64,3.7,4.78,-0.26,2329.66,18.91,,07-21
14,600449,宁夏建材,-0.09,-0.0,,,,-4155.44,-1.62,,07-21
15,002714,牧原股份,2.07,1970.0,,26.43,,107242.89,2189.93,,07-21
16,603718,海利生物,0.15,-37.5,,5.38,,5105.19,-3.16,,07-21
17,002117,东港股份,0.27,6.96,,6.82,,9727.61,5.62,,07-21
18,300101,振芯科技,0.08,-45.78,1.51,5.32,-0.23,4465.92,8.47,,07-20
19,600446,金证股份,0.05,-85.45,,2.91,,3766.17,-54.24,,07-20
20,300375,鹏翎股份,0.34,0.0,6.24,5.41,0.13,6226.08,0.49,,07-20
21,002462,嘉事堂,0.46,24.32,,6.39,,11598.94,29.25,,07-20
22,000667,美好集团,0.11,646.15,,4.54,,27323.28,648.7,,07-20
23,002168,深圳惠程,-0.03,-121.43,,-1.82,,-2102.16,-119.27,,07-20
24,000705,浙江震元,0.08,255.45,,2.05,,2611.44,255.24,,07-19
25,002615,哈尔斯,0.12,50.0,,4.98,,3238.43,118.94,,07-19
26,600338,西藏珠峰,0.4,-315.42,,23.29,,26361.52,-988.27,,07-19
27,002517,恺英网络,0.36,1100.0,,27.41,,24521.46,5254.02,,07-19
28,000690,宝新能源,0.21,-4.55,,6.32,,39375.03,5.73,,07-19
29,300084,海默科技,0.01,-68.42,3.4,0.27,0.01,291.25,-68.51,,07-19
30,002107,沃华医药,0.07,-36.36,,5.29,,2555.5,-33.25,,07-18
31,002644,佛慈制药,0.06,-40.6,,2.43,,3032.54,58.34,,07-16
32,002539,新都化工,0.11,-59.26,,3.66,,10996.62,22.11,,07-16
33,601137,博威合金,0.11,-35.29,,2.39,,4924.81,31.87,,07-16
34,300110,华仁药业,0.0,-84.33,2.2,0.21,0.03,306.13,-85.28,,07-12
35,603199,九华旅游,0.46,9.79,,5.51,,5076.75,25.46,,07-12
36,600777,新潮能源,-0.04,-33.33,5.16,-0.98,,-3678.89,-7.29,10转28,07-12
37,300364,中文在线,0.03,-45.67,2.55,1.45,0.13,783.03,12.46,,07-11
38,300520,科大国创,0.14,27.27,3.99,3.64,-1.33,982.95,30.7,,07-07
