,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300521,爱司凯,0.7,12.9,2.49,32.86,0.23,4224.23,14.46,,06-22
1,002803,吉宏股份,0.42,0.0,,18.53,0.41,3633.21,2.71,,06-22
2,300522,世名科技,0.79,29.51,3.21,27.65,0.4,3965.17,30.55,,06-21
3,603069,海汽集团,0.25,0.0,,11.31,1.15,5852.92,-2.59,,06-21
4,002805,丰元股份,0.29,-50.85,,5.76,0.6,2113.11,-50.72,,06-20
5,300520,科大国创,0.62,3.33,2.86,23.5,0.55,4296.09,5.95,,06-20
6,601966,玲珑轮胎,0.98,71.93,3.85,28.89,0.85,98001.25,71.88,,06-13
7,603016,新宏泰,0.63,10.53,2.92,21.6,0.98,7017.94,10.07,,06-08
8,002802,洪汇新材,0.51,-30.14,,20.07,0.71,4145.88,-29.51,,06-07
9,002801,微光股份,1.39,13.93,,25.15,1.39,6139.32,14.29,,06-07
10,603958,哈森股份,0.87,8.75,,33.43,0.72,14173.65,9.15,,06-07
11,603909,合诚股份,0.63,10.58,2.74,25.83,0.22,4727.5,10.7,,06-06
12,300518,盛讯达,1.09,,4.37,28.42,1.55,7605.49,,,06-06
13,300519,新光药业,1.21,27.37,3.37,42.93,0.96,7246.9,27.5,,06-06
14,300517,海波重科,0.47,9.3,3.11,15.85,-0.64,3582.18,7.85,,06-06
15,601127,小康股份,0.49,0.0,,20.64,0.14,36571.9,0.28,,05-23
16,300515,三德科技,0.62,22.28,2.17,29.58,0.7,4633.97,22.28,,05-20
17,002799,环球印务,0.48,-5.88,,15.94,0.73,3601.56,-5.24,,05-19
18,603131,上海沪工,0.67,17.54,3.57,20.82,0.84,5053.37,17.42,,05-18
19,002800,天顺股份,0.57,1.79,3.88,15.52,-0.58,3170.63,0.33,,05-17
20,300516,久之洋,0.87,,2.41,44.28,0.4,7869.44,,,05-16
21,300513,恒泰实达,0.76,9.96,4.09,20.55,-0.08,4349.68,14.84,,05-16
22,603737,三棵树,1.33,27.88,5.4,27.61,2.02,10003.54,28.69,,05-16
23,601611,中国核建,0.29,26.09,,18.97,-0.37,60033.7,26.14,,05-16
24,300512,中亚股份,0.86,17.81,3.38,29.34,1.52,8742.23,17.69,,04-29
25,002798,帝王洁具,0.81,-3.57,,17.76,0.97,5216.25,-4.24,,04-28
26,603339,四方冷链,0.64,12.28,3.17,22.37,1.15,9965.35,15.29,,04-27
27,603959,百利科技,0.51,-13.56,,29.26,0.3,8577.01,-14.17,,04-26
28,002796,世嘉科技,0.86,28.36,,27.84,1.04,5173.4,29.3,,04-25
29,603779,威龙股份,0.24,-57.89,3.02,8.14,0.86,3541.07,-58.33,,04-25
30,002797,第一创业,0.08,-27.27,,3.62,-0.99,16277.42,-22.5,,04-25
31,300510,金冠电气,0.66,4.76,3.47,21.66,0.72,4094.51,20.06,,04-18
32,603101,汇嘉时代,0.5,5.08,2.65,20.44,1.51,8967.77,5.09,,04-15
33,603822,嘉澳环保,0.58,-32.93,6.06,10.13,0.25,3214.31,-32.92,,04-14
34,300511,雪榕生物,0.7,9.38,3.8,19.24,2.09,7866.21,8.75,,04-14
35,603528,多伦科技,0.91,86.88,,54.41,1.47,14079.85,86.86,,04-13
36,002795,永和智控,0.69,21.05,,30.58,0.79,5197.74,21.1,,04-12
37,300509,新美星,0.67,4.69,3.64,20.39,1.5,4040.46,13.01,,04-12
38,603029,天鹅股份,0.7,1.45,,12.77,1.29,4903.79,1.87,,04-07
39,603726,朗迪集团,0.77,32.76,,18.98,-0.08,5455.1,33.52,,03-31
40,300508,维宏股份,1.0,31.58,2.72,44.3,0.81,4518.76,32.32,,03-30
41,300507,苏奥传感,1.02,25.93,,29.06,0.8,5098.78,25.32,,03-29
42,002793,东音股份,0.61,-15.28,3.35,20.11,0.86,4596.41,-14.35,,03-28
43,603868,飞科电器,0.74,34.55,,53.99,0.46,29058.15,49.11,,03-28
44,603701,德宏股份,0.74,19.35,,20.68,0.9,4372.88,19.29,,03-28
45,603798,康普顿,0.79,17.91,,25.91,0.85,5952.04,17.57,,03-15
46,300474,景嘉微,0.64,6.67,2.23,33.6,0.46,6408.9,6.08,,03-14
47,603028,赛福天,0.27,-3.57,2.17,13.29,0.34,4475.04,-4.95,,03-11
48,002791,坚朗五金,1.35,23.85,,27.49,0.93,22895.75,23.14,,03-10
49,002792,通宇通讯,0.57,29.55,4.49,13.36,0.57,6816.28,28.31,,03-09
50,300484,蓝海华腾,1.52,49.02,3.73,50.41,0.81,5932.08,48.91,,03-09
51,300506,名家汇,,,1.97,29.79,-0.3,4599.75,8.37,,03-07
52,603861,白云电器,0.37,-3.64,2.12,12.5,0.35,13328.66,-3.64,,03-02
53,300505,川金诺,0.83,10.67,4.25,21.25,0.95,5782.76,9.49,,02-25
54,601020,华钰矿业,0.27,-83.73,,16.24,0.38,12622.15,-61.98,,02-25
55,002789,建艺集团,1.45,23.93,6.92,23.55,-2.8,8843.87,33.69,,02-23
56,603919,金徽酒,0.52,-10.34,,21.5,0.59,10844.73,1.88,,02-22
57,300503,昊志机电,1.01,-27.34,5.14,21.36,0.4,7603.34,-27.16,,02-19
58,300502,新易盛,1.36,20.35,5.82,26.53,0.46,7935.88,20.7,,02-19
59,603520,司太立,0.71,77.5,4.23,18.03,0.83,6365.77,77.89,,02-18
60,002790,瑞尔特,1.12,38.27,3.07,38.82,1.05,13422.33,37.45,,02-17
61,603027,千禾味业,0.59,13.84,3.01,21.42,0.75,7046.92,13.85,,02-17
62,300501,海顺新材,1.11,30.59,4.86,25.47,0.71,4446.61,30.56,,01-22
63,603608,天创时尚,0.5,-12.28,,16.27,0.52,10405.44,-13.12,,01-22
64,300500,苏州设计,1.32,12.82,5.86,25.14,1.53,5947.55,13.14,,01-21
65,002788,鹭燕医药,1.13,20.21,5.76,21.66,-0.8,10828.31,19.63,,01-21
66,300499,高澜股份,0.84,,,20.5,0.6,4180.45,18.08,,01-20
67,603377,东方时尚,0.72,38.46,,62.95,3.46,26635.48,39.13,,01-20
68,601900,南方传媒,0.4,2.56,,16.02,0.61,25720.53,0.22,,01-20
69,601155,新城控股,,,,,,117432.86,21.38,,10-30
70,300497,富祥股份,0.83,6.41,4.25,21.76,1.06,4507.27,12.46,,07-02
71,002786,银宝山新,0.94,49.21,5.66,17.71,1.16,8955.38,48.23,,06-26
72,603508,思维列控,1.27,15.45,4.42,33.65,0.41,15291.39,15.88,,06-26
73,603299,井神股份,0.29,-14.71,,8.83,1.05,13473.43,-15.0,,06-26
74,300494,盛天网络,1.41,38.24,2.44,68.06,1.3,12671.91,38.72,,06-26
75,300491,通合科技,0.61,7.02,,27.38,0.44,3636.24,6.54,,06-26
76,002787,华源包装,0.66,20.0,3.8,18.94,0.03,6933.44,20.06,,06-26
77,002780,三夫户外,0.65,16.07,,19.61,0.07,3258.55,17.28,,06-25
78,603398,邦宝益智,0.75,10.29,,32.29,0.9,5372.9,10.76,,06-25
79,300490,华自科技,0.55,0.0,3.75,15.86,0.59,4153.82,1.17,,06-25
80,603936,博敏电子,0.58,0.0,3.65,16.81,0.8,7112.51,-2.82,,06-25
81,002779,中坚科技,0.7,-2.78,,18.93,0.74,4595.58,-3.71,,06-25
82,002785,万里石,0.25,8.7,,7.9,0.25,3776.46,11.89,,06-25
83,603866,桃李面包,0.63,18.87,,31.96,2.12,25460.43,18.33,,06-25
84,300496,中科创达,1.29,79.82,3.39,45.8,1.62,9668.09,79.8,,06-25
85,002778,高科石化,0.47,-30.88,4.97,9.85,0.17,3114.89,-31.81,,06-25
86,002783,凯龙股份,1.94,15.48,,21.07,2.63,12161.22,15.44,,06-25
87,603800,道森股份,0.39,-18.18,2.57,16.15,0.45,6088.69,-18.17,,06-25
88,300495,美尚生态,2.03,43.38,6.23,38.72,0.57,10127.04,43.38,,06-25
89,002777,久远银海,0.9,20.0,3.63,25.65,1.21,5409.58,20.22,,06-25
90,002782,可立克,0.42,-21.31,3.08,14.23,0.24,5307.27,-21.32,,06-25
91,603778,乾景园林,1.26,21.15,6.06,23.22,2.33,7559.13,21.68,,06-25
92,300493,润欣科技,0.44,-8.33,2.63,17.82,0.86,3987.57,-8.57,,06-25
93,603999,读者传媒,0.91,12.35,,20.3,0.95,16389.82,12.45,,06-25
94,002781,奇信股份,0.7,4.48,3.98,19.42,0.04,12674.92,4.87,,06-25
95,603696,安记食品,0.59,-15.71,3.27,19.63,0.55,5269.19,-16.22,,06-25
96,300492,山鼎设计,0.68,19.3,2.33,31.21,0.87,4230.81,19.61,,06-25
97,603996,中新科技,0.74,-31.48,,18.33,1.56,11119.4,-31.19,,06-25
98,300487,蓝晓科技,1.03,11.96,5.6,20.07,1.21,6203.21,11.81,,06-10
99,300482,万孚生物,0.89,56.14,3.66,27.83,1.53,5900.35,55.65,,06-10
100,603223,恒通股份,0.6,-1.64,,19.49,0.86,5417.86,-2.02,,06-10
101,002775,文科园林,1.08,11.34,5.1,23.69,-0.6,9763.34,11.97,,06-10
102,300486,东杰智能,0.51,6.25,3.21,17.29,0.13,5316.15,6.51,,06-10
103,300489,中飞股份,0.99,5.63,6.0,18.05,1.54,3382.35,5.63,,06-10
104,603117,万林股份,0.34,17.24,2.47,14.9,0.83,11996.35,18.33,,06-10
105,002773,康弘药业,0.79,55.71,3.81,25.74,0.93,31571.29,55.72,,06-10
106,002768,国恩股份,0.86,13.16,,22.33,0.23,5188.61,14.05,,06-10
107,603116,红蜻蜓,0.74,-12.94,,20.05,1.11,25758.79,-13.1,,06-10
108,002770,科迪乳业,0.38,-7.32,,15.74,0.45,7691.61,-8.44,,06-10
109,300485,赛升药业,1.79,21.77,5.49,38.02,2.19,16078.89,21.29,,06-10
110,603085,天成自控,0.32,-15.79,2.49,13.8,0.35,2410.83,-14.53,,06-10
111,002772,众兴菌业,0.49,-16.95,3.62,14.51,0.83,5475.04,-14.44,,06-10
112,603979,金诚信,1.38,21.05,,28.33,0.41,38548.26,20.37,,06-10
113,002769,普路通,0.92,9.52,,16.82,0.9,5097.29,9.37,,06-10
114,300483,沃施股份,0.78,4.0,4.62,17.19,0.08,3583.59,8.97,,06-10
115,601211,国泰君安,0.47,9.3,5.58,8.69,-2.0,287896.93,15.62,,06-10
116,002771,真视通,0.99,1.02,3.92,27.85,0.55,5938.89,0.8,,06-10
117,603838,四通股份,0.48,9.09,3.27,15.73,0.57,4764.01,7.46,,06-10
118,300481,濮阳惠成,0.79,2.6,3.37,26.63,0.64,4764.92,3.61,,06-10
119,300488,恒锋工具,1.18,-12.59,5.67,23.31,1.16,5920.18,-12.41,,06-10
120,300480,光力科技,0.79,23.44,3.83,23.06,0.61,5458.53,22.82,,06-10
121,300482,万孚生物,0.89,56.14,3.66,27.83,1.53,5900.35,55.65,,06-10
122,300487,蓝晓科技,1.03,11.96,5.6,20.07,1.21,6203.21,11.81,,06-10
123,300471,厚普股份,2.65,45.74,7.6,41.56,2.61,14965.94,45.7,,05-26
124,002767,先锋电子,0.86,6.17,3.54,26.69,0.65,6465.91,7.0,,05-26
125,002766,索菱股份,0.45,-8.16,3.8,12.64,0.72,6226.48,-6.64,,05-25
126,603616,韩建河山,0.71,78.15,3.43,22.92,1.69,7767.89,78.14,,05-25
127,300479,神思电子,0.64,3.23,2.65,27.1,0.55,3845.82,3.73,,05-25
128,300469,信息发展,0.66,34.62,2.48,30.77,0.14,3309.51,34.52,,05-25
129,002765,蓝黛传动,0.35,-28.57,3.23,11.19,0.41,5393.28,-28.84,,05-25
130,603066,音飞储存,0.68,-6.51,4.48,16.27,0.47,5060.44,-6.52,,05-25
131,300478,杭州高新,0.86,13.16,4.09,23.39,0.21,4306.24,13.25,,05-25
132,002763,汇洁股份,0.67,8.06,3.82,18.88,1.63,10877.65,8.17,,05-25
133,300477,合纵科技,0.93,9.41,4.36,23.9,0.8,7657.01,10.12,10派2,05-25
134,601985,中国核电,0.24,-8.2,,12.86,0.85,247593.35,17.39,,05-25
135,300473,德尔股份,1.75,6.23,8.29,22.04,1.74,13107.79,6.23,,05-25
136,002762,金发拉比,1.71,26.67,,32.62,1.15,8737.19,26.59,,05-25
137,300476,胜宏科技,0.8,14.29,4.84,18.15,1.64,8853.14,14.24,,05-25
138,601968,宝钢包装,0.2,17.65,,9.18,,12761.02,18.93,,05-25
139,300472,新元科技,0.67,8.06,3.32,22.29,0.21,3333.73,7.18,,05-25
140,002761,多喜爱,0.67,-25.56,4.05,18.06,0.56,6041.29,-25.12,,05-25
141,300475,聚隆科技,0.75,17.19,2.99,28.19,-0.02,11257.03,17.16,,05-25
142,601368,绿城水务,0.34,12.81,2.24,16.26,0.71,20125.63,12.81,,05-25
143,300464,星徽精密,0.69,1.47,3.84,18.86,0.91,4283.81,1.62,,05-25
144,002760,凤形股份,0.65,-4.41,,12.7,0.54,4270.74,-5.27,,05-25
145,300470,日机密封,2.01,10.44,6.76,34.13,0.88,8026.78,10.18,,05-25
146,603198,迎驾贡酒,0.59,-9.23,3.08,20.55,0.42,42224.8,-9.38,,05-11
147,300468,四方精创,1.1,1.85,3.77,31.58,0.95,8218.62,1.86,,05-11
148,603885,吉祥航空,0.68,47.83,,22.96,2.01,33863.8,47.53,,05-11
149,002759,天际股份,0.78,11.43,3.44,25.67,0.54,5628.05,12.33,,05-11
150,603108,润达医疗,0.96,15.55,5.73,18.29,0.45,6794.0,15.55,,05-11
151,300467,迅游科技,1.53,48.54,3.16,47.8,2.41,4585.91,48.37,,05-11
152,603669,灵康药业,0.59,20.41,1.8,39.1,0.82,11479.85,20.62,,05-11
153,002758,华通医药,1.08,6.93,6.0,19.58,1.54,4541.16,7.21,,05-11
154,603026,石大胜华,0.65,-17.72,6.15,11.29,2.89,9931.25,-16.86,,05-11
155,300466,赛摩电气,0.71,10.94,3.91,19.85,0.49,4281.27,11.89,,05-11
156,603598,引力传媒,0.63,43.18,2.67,26.93,0.4,6349.08,43.32,,05-11
157,002757,南兴装备,0.61,21.46,,19.33,0.37,5003.6,21.46,,05-11
158,603023,威帝股份,1.18,15.69,3.76,31.18,0.85,7091.39,15.49,,05-11
159,300465,高伟达,0.53,0.0,2.89,20.26,-0.36,5323.64,1.08,,05-11
160,603568,伟明环保,0.42,44.83,1.93,23.14,0.95,17096.72,46.59,,05-11
161,603918,金桥信息,0.56,-21.13,,16.82,0.49,3720.26,-20.05,,05-11
162,300463,迈克生物,1.3,21.5,4.07,37.64,0.66,19315.59,22.09,,05-11
163,603300,华铁科技,0.5,6.38,3.54,14.15,0.89,7570.44,6.19,,05-11
164,603901,永创智能,0.95,6.74,,23.09,0.64,7149.38,7.55,,05-11
165,300462,华铭智能,0.95,-3.06,4.21,25.13,0.34,4915.42,-3.29,,05-11
166,300461,田中精机,0.62,-29.55,3.69,17.83,0.45,3083.27,-30.01,,04-28
167,603311,金海环境,0.25,13.64,1.59,16.04,0.13,3996.22,15.89,,04-27
168,300455,康拓红外,0.52,4.0,2.8,20.56,0.34,5495.15,5.18,,04-27
169,603989,艾华集团,1.07,59.7,4.82,26.36,1.4,16121.46,60.29,,04-27
