,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
819,002044,美年健康,0.25,13.64,,10.32,,26027.34,425.67,,04-22
820,600804,鹏博士,0.53,35.9,,14.04,,71657.47,34.14,10派1.6,04-22
821,000780,平庄能源,-0.39,-1400.0,,-8.7,,-39061.11,-1526.5,,04-22
822,600759,洲际油气,0.03,-58.91,,1.22,,6480.54,-23.66,10派0.16,04-22
823,002519,银河电子,0.41,-22.81,,10.82,,22772.73,88.81,10派2.5,04-22
824,600197,伊力特,0.64,5.17,,16.2,,28192.78,5.17,10派4,04-22
825,300417,南华仪器,0.81,-17.77,,9.72,,3227.62,7.36,10派2转10,04-22
826,002638,勤上光电,0.06,84.67,,0.93,,2074.46,68.82,,04-22
827,002185,华天科技,0.45,0.47,,11.76,,31851.61,6.82,10派0.6转3,04-22
828,600513,联环药业,0.3,7.14,,7.69,,5011.5,13.91,,04-22
829,300153,科泰电源,0.13,-35.0,,4.36,,4121.49,31.56,10派1,04-22
830,600545,新疆城建,0.05,-67.69,,1.49,,3119.07,-67.71,10派0.5,04-22
831,002254,泰和新材,0.16,-46.67,,4.99,,9518.58,-37.05,,04-22
832,300452,山河药辅,1.07,7.0,,15.73,,4427.3,26.74,,04-22
833,000917,电广传媒,0.27,17.39,,3.73,,38135.32,14.68,10派0.4,04-22
834,002500,山西证券,0.57,147.83,,17.93,,143882.94,145.41,10派2,04-22
835,002437,誉衡药业,0.95,50.3,,20.48,,67701.78,52.56,10送10派2.5转10,04-22
836,002251,步步高,0.28,-51.91,,4.5,,21382.27,-38.08,10派1.5,04-22
837,002088,鲁阳节能,0.25,-26.47,,3.63,,5754.57,-26.68,10派1,04-22
838,002147,新光圆成,0.01,62.5,,0.41,,340.0,63.39,,04-22
839,002154,报喜鸟,0.09,-60.87,,3.63,,10001.71,-25.39,10派0.1,04-22
840,002227,奥特迅,0.04,-88.27,,1.26,,956.18,-88.29,10派0.2,04-22
841,002073,软控股份,0.27,3.85,,5.47,,20958.99,9.08,10派0.28,04-22
842,002027,分众传媒,7.55,37650.0,,73.2,,338914.2,51318.56,10派2.5转10,04-22
843,300164,通源石油,-0.11,-466.67,,-3.19,,-4643.81,-490.23,,04-22
844,002045,国光电器,0.12,-45.45,,3.7,,4796.48,-48.18,10派0.8,04-22
845,601311,骆驼股份,0.72,-8.86,,14.34,,60948.97,-9.2,10派2.15,04-22
846,002046,轴研科技,-0.52,-966.67,,-13.81,,-17832.85,-1114.8,,04-22
847,603188,亚邦股份,1.16,-56.81,,23.13,,66594.68,6.3,,04-22
848,300113,顺网科技,0.98,81.48,,23.61,,28559.97,82.1,10转13派2.5,04-22
849,300064,豫金刚石,0.16,54.41,,5.88,,10021.01,63.41,,04-22
850,000806,银河生物,0.1,174.8,,6.03,,10251.48,292.98,,04-22
851,002528,英飞拓,0.1,39.0,,3.0,,6836.67,103.53,10转3,04-22
852,300381,溢多利,0.7,15.31,,9.63,,7182.94,30.31,,04-22
853,600277,亿利洁能,0.06,-50.0,,1.43,,13070.47,-49.29,10派0.37,04-22
854,600327,大东方,0.34,20.57,,10.89,,17722.55,20.51,,04-22
855,002592,八菱科技,0.5,2.04,,9.14,,12530.23,32.45,10派2,04-22
856,002394,联发股份,0.91,-3.19,,11.0,,29448.91,-3.07,10派3,04-22
