,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002803,吉宏股份,,,,8.58,0.18,1908.39,-47.47,,06-22
1,300521,爱司凯,0.62,-11.43,3.12,22.24,0.22,3745.88,-11.32,,06-22
2,300522,世名科技,0.89,12.66,3.61,26.5,0.51,4464.8,12.6,,06-21
3,603069,海汽集团,0.28,12.0,,11.16,1.15,6580.1,12.42,,06-21
4,002805,丰元股份,0.47,62.07,,8.88,0.32,3420.51,61.87,,06-20
5,300520,科大国创,0.49,-20.97,3.23,16.15,0.31,3346.93,-22.09,,06-20
6,601966,玲珑轮胎,0.83,-15.31,4.54,19.99,0.77,83417.07,-14.88,,06-13
7,603016,新宏泰,0.61,-3.17,3.53,18.92,0.68,6775.06,-3.46,,06-08
8,002802,洪汇新材,0.38,-25.49,,14.01,0.32,3088.59,-25.5,,06-07
9,002801,微光股份,1.61,15.83,,23.4,1.47,7087.84,15.45,,06-07
10,603958,哈森股份,0.64,-26.44,,20.95,1.55,10437.51,-26.36,,06-07
11,300517,海波重科,0.5,6.38,3.6,14.86,0.5,3830.06,6.92,,06-06
12,603909,合诚股份,0.65,3.84,3.35,21.55,0.37,4908.47,3.83,,06-06
13,300518,盛讯达,1.25,14.68,5.62,25.11,1.86,8774.09,15.37,,06-06
14,300519,新光药业,1.76,45.45,4.15,47.33,1.66,10565.15,45.79,,06-06
15,601127,小康股份,0.4,-18.37,,14.91,0.53,30046.55,-17.84,,05-23
16,300515,三德科技,0.63,1.49,2.64,25.36,0.2,4703.09,1.49,,05-20
17,002799,环球印务,0.52,8.33,,14.5,0.97,3814.23,5.9,,05-19
18,603131,上海沪工,0.68,1.49,3.95,18.1,0.72,5073.57,0.4,,05-18
19,002800,天顺股份,0.58,1.75,4.36,14.07,-0.97,3238.43,2.14,,05-17
20,601611,中国核建,0.32,10.34,,17.82,-1.21,66628.51,10.99,,05-16
21,300516,久之洋,1.03,18.39,3.27,35.32,0.41,9310.39,18.31,,05-16
22,300513,恒泰实达,0.6,-20.71,4.69,13.76,-0.08,3448.72,-20.71,,05-16
23,603737,三棵树,1.37,3.01,6.17,24.3,1.69,10266.53,2.63,,05-16
24,300512,中亚股份,1.24,44.19,4.63,30.84,1.76,12507.07,43.06,,04-29
25,002798,帝王洁具,0.69,-14.81,,13.67,0.42,4455.51,-14.58,,04-28
26,603339,四方冷链,0.89,39.06,4.01,24.69,0.79,13806.24,38.54,,04-27
27,603959,百利科技,0.43,-15.69,,20.16,-1.61,7148.56,-16.65,,04-26
28,002797,第一创业,0.26,225.0,,10.5,1.26,50816.62,212.19,,04-25
29,002796,世嘉科技,0.95,10.47,,26.04,1.15,5708.51,10.34,,04-25
30,603779,威龙股份,0.24,0.0,3.25,7.5,1.72,3529.1,-0.34,,04-25
31,300510,金冠电气,0.7,6.06,4.1,18.4,0.23,4530.58,10.65,,04-18
32,603101,汇嘉时代,0.59,18.15,3.09,20.23,1.59,10595.39,18.15,,04-15
33,300511,雪榕生物,0.85,21.43,4.65,20.09,2.25,9545.16,21.34,,04-14
34,603822,嘉澳环保,0.66,12.51,6.72,10.29,-0.05,3616.16,12.5,,04-14
35,603528,多伦科技,1.69,86.44,,73.23,1.76,26250.53,86.44,,04-13
36,002795,永和智控,0.87,26.09,,31.63,1.37,6501.79,25.09,,04-12
37,300509,新美星,0.74,10.45,4.38,18.38,0.08,4421.05,9.42,,04-12
38,603029,天鹅股份,0.69,-1.43,,11.0,0.68,4802.73,-2.06,,04-07
39,603726,朗迪集团,0.96,24.68,,19.48,0.66,6791.41,24.5,,03-31
40,300508,维宏股份,1.37,37.0,3.4,43.65,1.2,6146.02,36.01,,03-30
41,300507,苏奥传感,1.38,35.29,5.27,29.74,1.04,6899.11,35.31,,03-29
42,603701,德宏股份,0.86,16.22,,21.5,0.83,5071.78,15.98,,03-28
43,002793,东音股份,0.85,39.34,4.21,22.56,0.56,6395.94,39.15,,03-28
44,603868,飞科电器,0.95,28.38,,53.35,1.38,37072.33,27.58,,03-28
45,603798,康普顿,0.89,12.66,,26.01,1.52,6672.82,12.11,,03-15
46,300474,景嘉微,0.82,28.13,3.05,31.14,0.34,8218.49,28.24,,03-14
47,603028,赛福天,0.27,0.0,2.44,11.74,0.29,4475.44,0.01,,03-11
48,002791,坚朗五金,1.27,-5.93,,20.41,0.2,21528.71,-5.97,,03-10
49,300484,蓝海华腾,1.3,-14.47,4.88,30.48,1.01,5068.83,-14.55,,03-09
50,002792,通宇通讯,2.95,417.54,7.06,50.93,2.35,35411.98,419.52,,03-09
51,300506,名家汇,0.53,,2.5,23.68,-0.46,4766.02,3.61,,03-07
52,603861,白云电器,0.37,0.81,3.4,11.46,0.29,13434.33,0.79,,03-02
53,300505,川金诺,0.58,-30.12,4.53,13.42,0.62,4077.39,-29.49,,02-25
54,601020,华钰矿业,0.44,62.96,,23.81,0.74,20410.16,61.7,,02-25
55,002789,建艺集团,1.44,-0.69,8.34,18.81,-1.75,8739.31,-1.18,,02-23
56,603919,金徽酒,0.59,13.46,,21.19,1.1,12471.41,15.0,,02-22
57,300503,昊志机电,0.53,-47.52,5.48,9.88,0.11,4010.95,-47.25,,02-19
58,300502,新易盛,1.59,16.91,7.41,24.0,0.98,9239.85,16.43,,02-19
59,603520,司太立,0.75,5.63,4.68,17.28,1.6,6770.42,6.36,,02-18
60,603027,千禾味业,0.44,-24.83,3.34,13.9,0.83,5297.03,-24.83,,02-17
61,002790,瑞尔特,1.16,3.57,4.03,32.79,0.91,13954.73,3.97,,02-17
62,300501,海顺新材,1.36,22.52,5.76,26.27,1.57,5422.41,21.94,,01-22
63,603608,天创时尚,0.57,14.0,,16.57,1.13,12011.23,15.43,,01-22
64,300500,苏州设计,1.26,-4.55,6.88,19.53,1.05,5655.22,-4.92,,01-21
65,002788,鹭燕医药,1.14,0.88,6.68,17.97,1.85,10932.75,0.96,,01-21
66,300499,高澜股份,0.95,13.1,5.45,19.16,1.42,4764.93,13.98,,01-20
67,603377,东方时尚,0.88,22.22,1.7,60.32,1.41,32628.28,22.5,,01-20
68,601900,南方传媒,0.48,20.0,,17.58,0.8,30876.38,20.05,,01-20
69,001979,招商蛇口,,,,,,320457.65,,,12-28
70,601155,新城控股,,,,,,116720.67,-0.61,,10-30
71,300497,富祥股份,0.99,19.28,5.25,20.84,0.58,5344.12,18.57,,07-02
72,603299,井神股份,0.21,-27.59,3.48,6.13,0.9,9925.18,-26.34,,06-26
73,300494,盛天网络,1.17,-17.02,3.11,40.51,1.08,10562.03,-16.65,,06-26
74,300491,通合科技,0.62,1.64,3.01,21.96,0.46,3725.1,2.44,,06-26
75,002787,华源包装,0.69,4.55,4.48,16.64,1.32,7272.27,4.89,,06-26
76,002786,银宝山新,0.64,-31.91,6.2,10.82,1.17,6114.38,-31.72,,06-26
77,603508,思维列控,1.99,56.69,6.41,36.68,1.47,23845.56,55.94,,06-26
78,002778,高科石化,0.52,10.64,5.49,10.03,0.45,3503.08,12.46,,06-25
79,002783,凯龙股份,1.71,-11.86,11.01,16.46,1.85,10715.3,-11.89,,06-25
80,603800,道森股份,0.69,76.84,3.17,24.15,0.82,10767.77,76.85,,06-25
81,300495,美尚生态,2.15,6.22,8.39,29.43,0.02,10756.31,6.21,,06-25
82,002777,久远银海,0.93,3.33,3.89,22.69,1.48,5576.86,3.09,,06-25
83,002782,可立克,0.46,10.33,3.45,14.06,0.56,5855.32,10.33,,06-25
84,603778,乾景园林,1.35,7.14,7.41,20.12,-0.85,8129.24,7.54,,06-25
85,300493,润欣科技,0.43,-2.27,2.83,15.59,-0.05,3831.23,-3.92,,06-25
86,603999,读者传媒,0.78,-14.29,5.44,15.24,0.66,14119.72,-13.85,,06-25
87,002781,奇信股份,0.83,18.57,4.8,18.84,-0.65,14894.65,17.51,,06-25
88,603696,安记食品,0.63,6.78,3.9,17.52,0.82,5656.89,7.36,,06-25
89,300492,山鼎设计,0.41,-39.71,2.49,17.34,-0.3,2561.36,-39.46,,06-25
90,603996,中新科技,0.68,-8.11,5.1,14.38,-0.2,10264.34,-7.69,,06-25
91,002780,三夫户外,0.56,-13.85,3.95,14.44,0.35,2785.1,-14.53,,06-25
92,603398,邦宝益智,0.82,9.33,2.68,28.43,1.0,5879.49,9.43,,06-25
93,300490,华自科技,0.59,7.27,4.24,14.78,1.16,4408.5,6.13,,06-25
94,603936,博敏电子,0.57,-2.74,4.21,14.03,1.34,6922.16,-2.68,,06-25
95,002779,中坚科技,0.86,22.86,4.89,19.38,0.84,5703.39,24.11,,06-25
96,002785,万里石,0.14,-44.0,3.47,3.98,-0.02,2029.78,-46.25,,06-25
97,603866,桃李面包,0.67,6.35,2.56,28.19,0.79,27295.45,7.21,,06-25
98,300496,中科创达,1.5,16.52,4.53,38.72,0.94,11265.75,16.53,,06-25
99,002770,科迪乳业,0.46,21.05,,16.69,0.3,9446.31,22.81,,06-10
100,300485,赛升药业,2.25,25.7,7.18,36.15,2.38,20257.15,25.99,,06-10
101,603116,红蜻蜓,0.94,27.03,4.78,21.1,1.74,32763.08,27.19,,06-10
102,603085,天成自控,0.43,34.38,2.92,15.9,0.48,3225.24,33.78,,06-10
103,002772,众兴菌业,0.81,65.31,4.44,20.08,1.53,9088.05,65.99,,06-10
104,603979,金诚信,1.01,-26.81,6.43,17.04,0.27,28384.43,-26.37,,06-10
105,002769,普路通,1.94,110.87,7.24,29.1,0.64,10774.33,111.37,,06-10
106,300483,沃施股份,0.72,-7.69,5.04,14.49,0.46,3320.98,-7.33,,06-10
107,601211,国泰君安,1.11,136.17,6.89,18.04,8.1,675791.25,134.73,,06-10
108,002771,真视通,0.78,-21.21,4.49,18.59,1.12,4672.02,-21.33,,06-10
109,603838,四通股份,0.5,4.17,3.61,14.62,0.89,4980.83,4.55,,06-10
110,300481,濮阳惠成,0.53,-32.91,3.82,14.77,0.38,3182.12,-33.22,,06-10
111,300488,恒锋工具,1.36,15.25,6.49,22.2,1.44,6803.12,14.91,,06-10
112,002776,柏堡龙,1.37,5.38,5.15,30.58,1.82,10738.07,5.39,,06-10
113,603589,口子窖,0.78,5.41,,20.07,0.19,42213.96,6.02,,06-10
114,300480,光力科技,0.49,-37.97,4.22,12.34,0.69,3411.25,-37.51,,06-10
115,300487,蓝晓科技,1.0,-2.91,6.41,16.57,0.44,5970.35,-3.75,,06-10
116,300482,万孚生物,1.49,67.42,4.75,33.84,1.58,9836.4,66.71,,06-10
117,603223,恒通股份,0.54,-10.0,3.65,14.78,1.16,4892.02,-9.71,,06-10
118,002775,文科园林,1.0,-7.41,6.0,18.12,-0.77,9015.39,-7.66,,06-10
119,300486,东杰智能,0.52,1.96,3.64,15.32,0.07,5410.5,1.77,,06-10
120,300488,恒锋工具,1.36,15.25,6.49,22.2,1.44,6803.12,14.91,,06-10
121,002776,柏堡龙,1.37,5.38,5.15,30.58,1.82,10738.07,5.39,,06-10
122,603589,口子窖,0.78,5.41,,20.07,0.19,42213.96,6.02,,06-10
123,300480,光力科技,0.49,-37.97,4.22,12.34,0.69,3411.25,-37.51,,06-10
124,300471,厚普股份,3.18,19.97,10.26,35.84,2.41,17959.45,20.0,,05-26
125,002767,先锋电子,0.89,3.49,3.9,24.19,0.64,6662.43,3.04,,05-26
126,300470,日机密封,2.22,10.45,8.48,29.17,0.96,8890.85,10.76,10派4.5,05-25
127,002766,索菱股份,0.47,4.44,4.28,11.65,0.45,6450.61,3.6,,05-25
128,603616,韩建河山,0.73,3.13,4.16,19.17,0.15,8010.81,3.13,,05-25
129,300479,神思电子,0.7,9.38,3.22,23.7,0.69,4225.25,9.87,,05-25
130,300469,信息发展,0.71,6.66,3.18,24.93,0.19,3533.93,6.78,,05-25
131,002765,蓝黛传动,0.52,48.57,3.68,16.36,-0.08,8142.83,50.98,,05-25
132,603066,音飞储存,0.82,21.33,5.3,16.73,0.8,6139.04,21.31,,05-25
133,300478,杭州高新,0.92,6.98,4.86,20.81,0.26,4615.11,7.17,,05-25
134,002763,汇洁股份,0.82,22.39,4.44,20.03,1.16,13279.76,22.08,,05-25
