,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300520,科大国创,0.11,,,3.35,-0.5,752.07,,,07-07
1,603608,天创时尚,0.27,,3.82,7.11,0.27,5642.89,,,01-22
2,300500,苏州设计,0.6,,7.32,8.45,-0.4,2697.96,,,01-21
3,603377,东方时尚,0.5,,,26.96,0.57,18407.89,,,01-20
4,601900,南方传媒,0.27,,,8.73,0.7,17586.96,,,01-20
5,300499,高澜股份,0.28,,5.74,5.12,-1.31,1430.75,,,01-20
6,001979,招商蛇口,0.38,,,8.85,,282743.61,,,12-27
7,603016,新宏泰,0.3,,3.83,8.1,0.33,3313.69,,,12-17
8,300490,华自科技,0.31,,4.43,7.09,-0.1,2302.5,,,12-16
9,002778,高科石化,0.27,,5.76,4.74,-0.12,1781.41,,,12-16
10,603299,井神股份,0.08,,3.52,2.33,0.32,3825.39,-34.74,,12-16
11,002777,久远银海,0.41,,3.3,9.94,-0.26,2444.57,,,12-16
12,300494,盛天网络,0.41,,3.52,12.28,0.32,3661.33,,,12-16
13,603778,乾景园林,0.47,,,6.11,0.15,2803.7,,,12-16
14,300491,通合科技,0.27,,3.16,8.65,0.22,1635.11,,,12-16
15,002787,华源包装,0.38,,4.86,8.06,0.06,3974.84,,,12-16
16,300497,富祥股份,0.75,,5.6,13.75,1.02,4076.33,,,12-04
17,002786,银宝山新,0.35,,6.49,5.57,-0.62,3372.64,,,12-04
18,603508,思维列控,0.98,,7.18,14.48,1.09,11811.57,,,12-04
19,002785,万里石,0.02,,,0.71,-0.08,369.01,,,12-04
20,603866,桃李面包,0.36,,2.72,30.32,0.45,14477.19,,,12-04
21,300495,美尚生态,1.29,,9.68,14.32,0.34,6468.51,,,12-04
22,002782,可立克,0.2,,3.56,5.58,0.01,2511.48,,,12-04
23,002781,奇信股份,0.41,,5.22,8.26,-1.27,7454.22,,,12-04
24,300492,山鼎设计,0.25,,2.75,9.51,-0.11,1551.71,,,12-04
25,603996,中新科技,0.33,,5.43,6.19,-2.09,4886.51,,,12-04
26,601611,中国核建,0.13,,,,,27925.35,-22.35,,12-01
27,603131,上海沪工,0.33,,4.16,8.16,0.2,2498.74,,,11-27
28,603737,三棵树,0.43,,6.19,6.9,0.93,3198.36,,,11-27
29,603909,合诚股份,0.32,,3.62,9.23,0.09,2410.93,,,11-24
30,002802,洪汇新材,0.26,,3.17,8.47,0.34,2085.89,,,11-24
31,002780,三夫户外,0.19,,4.14,4.58,0.17,926.77,,,11-23
32,603398,邦宝益智,0.39,,,35.39,0.49,2832.97,,,11-23
33,603936,博敏电子,0.26,,4.46,5.92,0.52,3218.92,,,11-23
34,603339,四方冷链,0.36,,4.16,9.0,0.7,5650.5,,,11-23
35,002779,中坚科技,0.39,,5.28,7.72,0.29,2593.27,,,11-23
