,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300497,富祥股份,0.24,,,5.5,,1299.16,,,07-02
1,002787,华源包装,0.12,,,,,1271.04,,,06-26
2,603116,红蜻蜓,0.16,,,,,5527.97,,,06-26
3,300494,盛天网络,0.17,,,6.81,,1546.24,,,06-26
4,300491,通合科技,,,,,,123.1,,,06-26
5,002779,中坚科技,0.13,,,3.25,,878.04,,,06-25
6,002778,高科石化,0.1,,,,,700.82,,,06-25
7,300496,中科创达,0.45,,,12.55,,3386.47,,,06-25
8,601211,国泰君安,0.16,,,2.75,1.53,95194.13,,,06-25
9,300492,山鼎设计,0.02,,,0.75,,109.36,,,06-25
10,300490,华自科技,0.01,,,0.29,,80.93,,,06-25
11,002785,万里石,0.01,,,,,153.39,,,06-25
12,603117,万林股份,0.06,,,2.5,,2187.42,,,06-10
13,603616,韩建河山,0.1,,,,,1123.41,,,06-10
14,002776,柏堡龙,,,,,,2097.57,,,06-10
15,300486,东杰智能,-0.08,,,,,-790.59,,,06-10
16,300489,中飞股份,0.2,,,3.29,,684.33,,,06-10
17,002770,科迪乳业,0.08,,,2.99,,1592.6,,,06-10
18,300483,沃施股份,0.31,,,6.46,,1413.07,,,06-10
19,300481,濮阳惠成,,,,,,1026.6,,,06-10
20,300464,星徽精密,0.09,,,0.02,-0.04,545.91,,,06-09
21,603300,华铁科技,0.15,,,,,2237.22,,,05-28
22,603901,永创智能,0.16,,,3.48,-1.17,1212.34,,,05-28
23,300465,高伟达,-0.04,,,-1.48,-1.4,-423.72,,,05-27
24,603108,润达医疗,0.1,,,1.75,-1.96,712.36,,,05-26
25,002758,华通医药,0.19,,,,,803.95,,,05-26
26,002757,南兴装备,0.15,,,,,1264.9,,,05-26
27,300471,厚普股份,0.59,,,,,3301.73,,,05-26
28,002763,汇洁股份,0.44,,,,,7258.46,,,05-25
29,300479,神思电子,0.04,,,,,222.82,,,05-25
30,300472,新元科技,-0.07,,,,,-359.59,,,05-25
31,300475,聚隆科技,0.17,,,5.65,,2610.42,,,05-25
32,300470,日机密封,0.51,,,7.21,,2022.39,,,05-25
33,603311,金海环境,0.08,,,4.79,0.18,1228.73,,,05-15
34,603718,海利生物,0.15,,,,0.11,3164.27,,,05-14
35,603227,雪峰科技,-0.1,,,,,-2423.87,,,05-14
36,002756,永兴特钢,0.37,,,3.66,-1.75,5501.99,,,05-14
37,002755,东方新星,0.18,,,4.45,-0.35,1400.49,,,05-14
38,603355,莱克电气,0.24,,,,0.18,8668.71,,,05-12
39,603568,伟明环保,0.13,,,6.42,,5217.78,,,05-11
40,300463,迈克生物,0.3,,,7.14,-0.53,4476.46,,,05-11
41,300467,迅游科技,0.54,,,,,1634.38,,,05-11
42,603268,松发股份,0.21,,,5.4,,1387.58,,,04-30
43,603025,大豪科技,0.17,,,7.67,,6655.19,,,04-30
44,603806,福斯特,0.3,,,5.25,,10254.9,,,04-30
45,603606,东方电缆,0.06,,,1.38,,700.33,,,04-30
46,603828,柯利达,0.21,,,4.79,,1882.06,,,04-30
47,603729,龙韵股份,-0.1,,,-0.53,,-480.85,,,04-30
48,603338,浙江鼎力,0.43,,,7.19,,2079.16,,,04-30
49,603456,九洲药业,0.2,,,4.24,,3172.86,,,04-30
50,603011,合锻智能,0.04,,,1.25,,479.84,,,04-30
51,601198,东兴证券,0.12,,,3.79,,23452.01,,,04-30
52,601689,拓普集团,0.18,,,6.21,,9209.5,,,04-30
53,603017,中衡设计,0.21,,,2.65,,949.22,,,04-30
54,603997,继峰股份,0.14,,,7.32,,5176.35,,,04-30
55,603869,北部湾旅,-0.01,,,,,-159.57,,,04-30
56,601021,春秋航空,0.58,,,6.19,,17368.78,,,04-30
57,601015,陕西黑猫,0.02,,,0.6,,1167.24,,,04-30
58,603688,石英股份,0.09,,,1.81,,1426.61,,,04-30
59,603010,万盛股份,0.08,,,2.54,,580.83,,,04-30
60,601015,陕西黑猫,0.02,,,0.6,,1167.24,,,04-30
61,603688,石英股份,0.09,,,1.81,,1426.61,,,04-30
62,603600,永艺股份,0.0,,,0.12,,28.09,,,04-29
63,002746,仙坛股份,0.02,,,0.38,,290.26,,,04-29
64,603698,航天工程,0.14,,,5.02,,4781.34,,,04-29
65,603021,山东华鹏,0.03,,,0.45,,207.01,,,04-29
66,603808,歌力思,0.28,,,5.56,,3343.09,,,04-29
67,603020,爱普股份,0.37,,,5.67,,4457.27,,,04-29
68,603169,兰石重装,-0.07,,,-4.32,,-3265.94,,,04-29
69,601016,节能风电,0.02,,,1.12,,3109.5,,,04-29
70,603318,派思股份,-0.05,,,-1.87,,-471.08,,,04-29
71,002730,电光科技,0.04,,,0.94,,451.2,,,04-29
72,603889,新澳股份,0.2,,,3.47,,1601.42,,,04-28
73,300461,田中精机,0.02,,,0.67,0.1,124.02,,,04-28
74,002729,好利来,0.12,,,3.33,,617.18,,,04-28
75,603898,好莱客,0.04,,,1.01,,282.99,,,04-28
76,002747,埃斯顿,0.07,,,2.25,,589.87,,,04-28
77,603158,腾龙股份,0.27,,,7.55,,2123.87,,,04-28
78,603518,维格娜丝,0.31,,,6.64,,3458.19,,,04-28
79,603899,晨光文具,0.22,,,9.24,,8688.58,,,04-28
80,603118,共进股份,0.22,,,4.14,,5000.34,,,04-28
81,603088,宁波精达,0.06,,,1.31,,384.02,,,04-28
82,603368,柳州医药,0.43,,,7.36,,3827.57,,,04-28
83,002738,中矿资源,0.0,,,0.04,,14.74,,,04-28
84,300364,中文在线,-0.14,,,-4.86,-0.21,-1249.62,,,04-28
85,603618,杭电股份,0.12,,,2.65,,2094.18,,,04-28
86,603199,九华旅游,0.17,,,2.87,,1387.85,,,04-28
87,601969,海南矿业,0.1,,,5.07,,17515.89,,,04-28
88,300417,南华仪器,0.16,,,3.09,-0.43,499.29,,,04-28
89,603012,创力集团,0.15,,,3.2,,3602.15,,,04-28
90,603188,亚邦股份,0.7,,,14.7,0.32,15102.15,,,04-28
91,601226,华电重工,0.05,,,1.7,-0.53,2966.72,,,04-28
92,300418,昆仑万维,0.71,,,16.17,0.48,15013.27,,,04-28
93,603611,诺力股份,0.19,,,4.14,,1126.08,,,04-28
94,603309,维力医疗,0.16,,,3.95,,1215.73,,,04-28
95,603519,立霸股份,0.24,,,4.27,,1426.37,,,04-28
96,603988,中电电机,0.1,,,4.15,,609.17,,,04-28
97,603998,方盛制药,0.15,,,3.48,,1265.34,,,04-28
98,603601,再升科技,0.17,,,5.08,,864.18,,,04-28
99,300406,九强生物,0.47,,,9.48,0.22,4741.13,,,04-27
100,300411,金盾股份,0.06,,,1.5,-0.41,381.14,,,04-27
101,300397,天和防务,-0.14,,,-2.14,0.21,-1224.27,,,04-27
102,603166,福达股份,0.04,,,2.02,,1427.28,,,04-27
103,300427,红相电力,-0.12,,,-2.9,-0.33,-801.8,,,04-27
104,300430,诚益通,0.2,,,3.52,-1.03,930.59,,,04-27
105,603636,南威软件,-0.07,,,-1.47,,-541.65,,,04-27
106,603686,龙马环卫,0.31,,,7.81,,3101.02,,,04-27
107,300426,唐德影视,-0.19,,,-4.26,-1.65,-1123.14,,,04-27
108,603030,全筑股份,0.02,,,0.81,,280.9,,,04-27
109,300429,强力新材,0.28,,,8.13,0.12,1696.11,,,04-27
110,603969,银龙股份,0.11,,,2.61,,1705.32,,,04-27
111,300428,四通新材,0.2,,,5.13,-0.41,1241.24,,,04-27
112,300398,飞凯材料,0.26,,,6.4,0.27,1587.44,,,04-27
113,603939,益丰药房,0.27,,,6.25,,3210.69,,,04-27
114,300400,劲拓股份,0.05,,,1.38,0.01,291.25,,,04-25
115,601069,西部黄金,0.05,,,2.09,,2462.64,,,04-25
116,300394,天孚通信,0.29,,,6.69,0.29,1696.15,,,04-25
117,002731,萃华珠宝,-0.02,,,-0.99,,-206.1,,,04-25
118,603588,高能环境,-0.17,,,-2.29,,-2060.65,,,04-25
119,600958,东方证券,0.05,,,1.41,,21801.57,,,04-25
120,300374,恒通科技,-0.1,,,-1.95,-0.23,-749.77,,,04-25
121,300433,蓝思科技,0.49,,,4.64,1.66,29523.66,,,04-25
122,600917,重庆燃气,0.04,,,2.02,,5566.61,,,04-24
123,603222,济民制药,0.09,,,2.3,,1104.47,,,04-24
124,002741,光华科技,0.05,,,1.42,,447.43,,,04-24
125,300402,宝色股份,-0.11,,,-4.0,-0.08,-1718.71,,,04-24
126,300415,伊之密,0.12,,,3.63,-0.54,1124.62,,,04-24
127,300421,力星股份,0.13,,,3.53,0.06,1086.76,,,04-24
128,300431,暴风集团,0.08,,,2.77,0.23,686.81,,,04-24
129,002749,国光股份,0.46,,,8.19,,2755.89,,,04-24
130,300405,科隆精化,0.19,,,2.79,-0.63,948.86,,,04-24
131,300407,凯发电气,-0.1,,,-1.64,-0.4,-523.3,,,04-24
132,300413,快乐购,0.13,,,4.8,-0.14,4217.33,,,04-24
133,300420,五洋科技,0.03,,,0.88,-0.26,194.11,,,04-24
134,603968,醋化股份,,,,,,2174.41,,,04-24
135,002735,王子新材,0.07,,,1.66,,433.56,,,04-24
136,300425,环能科技,-0.06,,,-0.82,-0.11,-300.49,,,04-24
