,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300522,世名科技,0.23,,,6.27,0.02,1167.94,,,07-04
1,300521,爱司凯,0.08,,,2.42,,458.08,,,06-22
2,002803,吉宏股份,0.05,,,1.87,,453.52,,,06-22
3,002805,丰元股份,0.19,,,3.58,,1361.19,,,06-20
4,300520,科大国创,-0.03,,,-1.0,,-219.84,,,06-20
5,603016,新宏泰,0.13,,,3.51,,1401.75,,,06-08
6,603958,哈森股份,0.27,,,,,4451.93,,,06-07
7,002802,洪汇新材,0.11,,,,,893.69,,,06-07
8,002801,微光股份,0.35,,,4.53,0.28,1547.97,,,06-07
9,300519,新光药业,,,,,,3848.76,,,06-06
10,300517,海波重科,0.07,,,2.0,,557.65,,,06-06
11,300518,盛讯达,0.21,,,3.63,,1455.43,,,06-06
12,300515,三德科技,-0.02,,,,,-175.76,,,05-20
13,603339,四方冷链,0.19,,,4.69,0.57,2984.14,,,05-18
14,002800,天顺股份,0.04,,,0.88,,215.02,,,05-17
15,300516,久之洋,0.21,,,6.09,-0.44,1849.4,,,05-16
16,603737,三棵树,-0.28,,,-4.69,,-2117.83,,,05-16
17,603779,威龙股份,0.04,,,,,611.55,,,05-13
18,002797,第一创业,0.11,,,4.12,0.74,21844.89,,,05-10
19,002796,世嘉科技,0.11,,,2.86,0.06,676.14,,,05-09
20,300510,金冠电气,0.08,,,1.85,-0.01,499.0,,,05-05
21,603101,汇嘉时代,0.12,,,3.79,0.37,2148.13,,,05-05
22,603861,白云电器,0.08,,,2.34,,2888.68,,,04-30
23,603022,新通联,0.15,,,3.22,,892.2,,,04-30
24,603979,金诚信,0.16,,,2.5,,4560.14,,,04-30
25,603778,乾景园林,0.09,,,1.2,,545.03,,,04-30
26,603566,普莱柯,0.39,,,6.61,,4674.54,,,04-30
27,603223,恒通股份,0.08,,,2.26,,750.12,,,04-30
28,002765,蓝黛传动,0.13,,,1.32,,1983.82,,,04-29
29,603789,星光农机,0.16,,,4.49,,2443.73,,,04-29
30,603023,威帝股份,0.24,,,8.48,,1419.74,,,04-29
31,002771,真视通,0.2,,,4.37,,1203.89,,,04-29
32,603918,金桥信息,-0.13,,,-3.3,,-861.94,,,04-29
33,002789,建艺集团,0.39,,,4.55,,2362.09,,,04-29
34,002792,通宇通讯,0.5,,,6.88,,6036.87,,,04-29
35,603989,艾华集团,0.24,,,6.03,,4805.26,,,04-29
36,002780,三夫户外,0.03,,,0.73,,143.99,,,04-29
37,603198,迎驾贡酒,0.29,,,7.77,,20653.25,,,04-29
38,002766,索菱股份,0.11,,,2.56,,1519.99,,,04-29
39,603377,东方时尚,0.15,,,7.37,,5714.85,,,04-29
40,603528,多伦科技,0.57,,,18.97,0.2,8891.51,,,04-29
41,300474,景嘉微,-0.01,,,-0.46,,-138.58,,,04-29
42,300512,中亚股份,0.29,,,,,2932.57,,,04-29
43,601900,南方传媒,0.16,,,5.33,,10572.16,,,04-28
44,603669,灵康药业,0.14,,,7.89,,2778.34,,,04-28
45,603066,音飞储存,0.08,,,1.48,,592.96,,,04-28
46,002798,帝王洁具,,,,,,-492.51,,,04-28
47,001979,招商蛇口,0.1,,,3.1,,52895.39,,,04-28
48,603598,引力传媒,0.11,,,3.55,,1147.87,,,04-28
49,603520,司太立,0.38,,,7.85,,3440.21,,,04-28
50,603868,飞科电器,0.31,,,15.73,,12162.7,,,04-28
51,601155,新城控股,0.03,,,0.47,,3264.62,,,04-28
52,603838,四通股份,0.16,,,4.53,,1584.21,,,04-28
53,002761,多喜爱,0.09,,,1.86,,769.59,,,04-28
